file,split,method,stimulus,onset_s,first_alarm_s,delay_s,max_score_60s,longest_consecutive_gt_threshold_s,already_high_at_onset
ethylene_CO.txt,test,B0,target_gas,30866.01,,,0.5590182504107482,0,0
ethylene_CO.txt,test,B0,target_gas,31194.01,,,0.5819003445985457,0,0
ethylene_CO.txt,test,B0,target_gas,31565.01,,,0.5819003445985457,0,0
ethylene_CO.txt,test,B0,target_gas,31778.01,,,0.5739833331074089,0,0
ethylene_CO.txt,test,B0,ethylene_only,25687.01,,,0.8776779629289994,0,0
ethylene_CO.txt,test,B0,ethylene_only,25981.01,,,0.8760849057387097,0,0
ethylene_CO.txt,test,B0,ethylene_only,26183.01,,,0.8737677316437429,0,0
ethylene_CO.txt,test,B0,ethylene_only,26569.01,,,0.879271020119289,0,0
ethylene_CO.txt,test,B0,ethylene_only,26769.01,,,0.8831812514045455,0,0
ethylene_CO.txt,test,B0,ethylene_only,26969.01,,,0.8808158028492669,0,0
ethylene_CO.txt,test,B0,ethylene_only,27869.01,,,0.8729953402787539,0,0
ethylene_CO.txt,test,B0,ethylene_only,28069.01,,,0.8760849057387097,0,0
ethylene_CO.txt,test,B0,ethylene_only,28269.01,,,0.8706298917234753,0,0
ethylene_CO.txt,test,B0,ethylene_only,32186.01,,,0.585858850344114,0,0
ethylene_CO.txt,test,B0,ethylene_only,32488.01,,,1.4163243910881642,0,0
ethylene_CO.txt,test,B0,ethylene_only,32659.01,,,1.3899665357579163,0,0
ethylene_CO.txt,test,B0,ethylene_only,32889.01,,,1.3472919128422776,0,0
ethylene_CO.txt,test,B0,ethylene_only,33175.01,,,1.3136446140049465,0,0
ethylene_CO.txt,test,B0,ethylene_only,33379.01,33436,56.99,227.5759435465331,7,0
ethylene_CO.txt,test,B0,ethylene_only,36082.01,,,0.6843870238405161,0,0
ethylene_CO.txt,test,B0,ethylene_only,36317.01,,,0.7008968892671549,0,0
ethylene_CO.txt,test,B1,target_gas,27169.01,27191,21.99,4.9994696921038875,42,0
ethylene_CO.txt,test,B1,target_gas,27369.01,27391,21.99,6.6882977444637435,42,0
ethylene_CO.txt,test,B1,target_gas,27569.01,27590,20.99,8.460780430994847,43,0
ethylene_CO.txt,test,B1,target_gas,28469.01,28491,21.99,4.8201888180384,42,0
ethylene_CO.txt,test,B1,target_gas,28669.01,28691,21.99,6.607219938412873,42,0
ethylene_CO.txt,test,B1,target_gas,28869.01,28890,20.99,8.439117356586348,43,0
ethylene_CO.txt,test,B1,target_gas,29163.01,29186,22.99,7.441884008814288,41,0
ethylene_CO.txt,test,B1,target_gas,29555.01,29576,20.99,8.61488576344685,43,0
ethylene_CO.txt,test,B1,target_gas,30061.01,30085,23.99,6.225588283404235,40,0
ethylene_CO.txt,test,B1,target_gas,30668.01,30691,22.99,6.0277815980594625,41,0
ethylene_CO.txt,test,B1,target_gas,30866.01,30889,22.99,6.494286614929151,41,0
ethylene_CO.txt,test,B1,target_gas,31194.01,31219,24.99,5.284787286649641,39,0
ethylene_CO.txt,test,B1,target_gas,31565.01,31589,23.99,6.759609293217445,40,0
ethylene_CO.txt,test,B1,target_gas,31778.01,31800,21.99,8.13270340437269,42,0
ethylene_CO.txt,test,B1,ethylene_only,25687.01,25724,36.99,8.038873881506333,27,0
ethylene_CO.txt,test,B1,ethylene_only,25981.01,26034,52.99,4.333330068726186,11,0
ethylene_CO.txt,test,B1,ethylene_only,26183.01,26211,27.99,14.520619101431176,36,0
ethylene_CO.txt,test,B1,ethylene_only,26569.01,26601,31.99,13.476616606462159,32,0
ethylene_CO.txt,test,B1,ethylene_only,26769.01,26806,36.99,8.270017142224239,27,0
ethylene_CO.txt,test,B1,ethylene_only,26969.01,27023,53.99,3.639961253835454,10,0
