file,split,method,negative_seconds,negative_median,negative_p99,negative_max,threshold
ethylene_CO.txt,train,B0,288,0.027130246695236677,0.6946733458437564,0.6969866579818983,32.40802296
ethylene_CO.txt,train_calibration_60s,B0,660,0.6744907594765952,32.40802296041466,34.13506398432139,32.40802296
ethylene_CO.txt,train,B1,288,0.5098974959155547,0.9672035639182925,0.9725789230526478,2.69969319
ethylene_CO.txt,train_calibration_60s,B1,660,0.7190149270965202,2.6996931868206784,3.0828489133007464,2.69969319
ethylene_CO.txt,validation,B0,1465,0.7459852351983844,2.000231022257249,49.256555932392445,32.40802296
ethylene_CO.txt,validation,B1,1465,1.006858574963237,2.190350558747077,2.206643639004138,2.69969319
ethylene_CO.txt,test,B0,886,0.8557130834871263,0.8769055715640104,0.8823605855792449,32.40802296
ethylene_CO.txt,test,B1,886,1.3635772316795616,2.1071777754793324,2.1296659826243687,2.69969319
ethylene_methane.txt,train,B0,407,0.3647411221029773,0.9619329815230431,0.9698123461341143,3.98112461
ethylene_methane.txt,train_calibration_60s,B0,864,0.6744907594765952,3.981124613952769,4.531356053902076,3.98112461
ethylene_methane.txt,train,B1,407,0.5831870344990244,0.9750633046510441,1.006082483037771,2.49967699
ethylene_methane.txt,train_calibration_60s,B1,864,0.6977880508525578,2.499676988551684,3.3250724094005877,2.49967699
ethylene_methane.txt,validation,B0,1195,0.732079293334852,1.2312074021077786,1.2420902746479212,3.98112461
ethylene_methane.txt,validation,B1,1195,0.7830092819799035,1.188110689115711,1.213116386015483,2.49967699
ethylene_methane.txt,test,B0,1658,0.9564973164732573,1.1739144371741914,1.1915096511374834,3.98112461
ethylene_methane.txt,test,B1,1658,0.9368285602447198,1.5337402381668424,1.5919922444083303,2.49967699
