trial,scenario,duration_s,buffer_m,position_error_bound_m,steps,g2_seconds,p2_seconds,joint_l3_seconds,first_joint_l3_s,pre_release_joint_l3_seconds,unknown_seconds,paired_seconds,zone_mismatch_seconds,boundary_uncertain_seconds,gas_invalid_seconds,person_invalid_seconds,person_p2_gas_missing_lower_bound_fail,gas_g2_person_missing_lower_bound_fail
009_Et_M_Me_L,S2_possible_overlap,3,0.5,0.2,215,160,32,35,89.0,0,11,204,0,11,0,11,0,0
009_Et_M_Me_L,S2_possible_overlap,3,0.5,0.5,215,160,15,15,95.0,0,32,183,0,32,0,32,0,0
009_Et_M_Me_L,S2_possible_overlap,3,1.0,0.0,215,160,35,49,85.0,0,0,215,0,0,0,0,0,0
009_Et_M_Me_L,S2_possible_overlap,3,1.0,0.2,215,160,32,40,86.0,0,10,205,0,10,0,10,0,0
009_Et_M_Me_L,S2_possible_overlap,3,1.0,0.5,215,160,15,15,95.0,0,41,174,0,41,0,41,0,0
009_Et_M_Me_L,S2_possible_overlap,3,2.0,0.0,215,160,35,59,81.0,0,0,215,0,0,0,0,0,0
009_Et_M_Me_L,S2_possible_overlap,3,2.0,0.2,215,160,32,50,81.0,0,15,200,0,15,0,15,0,0
009_Et_M_Me_L,S2_possible_overlap,3,2.0,0.5,215,160,15,25,81.0,0,45,170,0,45,0,45,0,0
009_Et_M_Me_L,S2_possible_overlap,5,0.5,0.0,215,158,35,43,88.0,0,0,215,0,0,0,0,0,0
009_Et_M_Me_L,S2_possible_overlap,5,0.5,0.2,215,158,32,35,89.0,0,11,204,0,11,0,11,0,0
009_Et_M_Me_L,S2_possible_overlap,5,0.5,0.5,215,158,15,15,95.0,0,32,183,0,32,0,32,0,0
009_Et_M_Me_L,S2_possible_overlap,5,1.0,0.0,215,158,35,49,85.0,0,0,215,0,0,0,0,0,0
009_Et_M_Me_L,S2_possible_overlap,5,1.0,0.2,215,158,32,40,86.0,0,10,205,0,10,0,10,0,0
009_Et_M_Me_L,S2_possible_overlap,5,1.0,0.5,215,158,15,15,95.0,0,41,174,0,41,0,41,0,0
009_Et_M_Me_L,S2_possible_overlap,5,2.0,0.0,215,158,35,57,83.0,0,0,215,0,0,0,0,0,0
009_Et_M_Me_L,S2_possible_overlap,5,2.0,0.2,215,158,32,48,83.0,0,15,200,0,15,0,15,0,0
009_Et_M_Me_L,S2_possible_overlap,5,2.0,0.5,215,158,15,23,83.0,0,45,170,0,45,0,45,0,0
011_Et_n_Me_L,S2_possible_overlap,1,0.5,0.0,215,0,35,0,,0,0,215,0,0,0,0,0,0
011_Et_n_Me_L,S2_possible_overlap,1,0.5,0.2,215,0,32,0,,0,11,204,0,11,0,11,0,0
011_Et_n_Me_L,S2_possible_overlap,1,0.5,0.5,215,0,15,0,,0,32,183,0,32,0,32,0,0
011_Et_n_Me_L,S2_possible_overlap,1,1.0,0.0,215,0,35,0,,0,0,215,0,0,0,0,0,0
011_Et_n_Me_L,S2_possible_overlap,1,1.0,0.2,215,0,32,0,,0,10,205,0,10,0,10,0,0
011_Et_n_Me_L,S2_possible_overlap,1,1.0,0.5,215,0,15,0,,0,41,174,0,41,0,41,0,0
011_Et_n_Me_L,S2_possible_overlap,1,2.0,0.0,215,0,35,0,,0,0,215,0,0,0,0,0,0
011_Et_n_Me_L,S2_possible_overlap,1,2.0,0.2,215,0,32,0,,0,15,200,0,15,0,15,0,0
011_Et_n_Me_L,S2_possible_overlap,1,2.0,0.5,215,0,15,0,,0,45,170,0,45,0,45,0,0
011_Et_n_Me_L,S2_possible_overlap,3,0.5,0.0,215,0,35,0,,0,0,215,0,0,0,0,0,0
011_Et_n_Me_L,S2_possible_overlap,3,0.5,0.2,215,0,32,0,,0,11,204,0,11,0,11,0,0
011_Et_n_Me_L,S2_possible_overlap,3,0.5,0.5,215,0,15,0,,0,32,183,0,32,0,32,0,0
011_Et_n_Me_L,S2_possible_overlap,3,1.0,0.0,215,0,35,0,,0,0,215,0,0,0,0,0,0
011_Et_n_Me_L,S2_possible_overlap,3,1.0,0.2,215,0,32,0,,0,10,205,0,10,0,10,0,0
011_Et_n_Me_L,S2_possible_overlap,3,1.0,0.5,215,0,15,0,,0,41,174,0,41,0,41,0,0
011_Et_n_Me_L,S2_possible_overlap,3,2.0,0.0,215,0,35,0,,0,0,215,0,0,0,0,0,0
011_Et_n_Me_L,S2_possible_overlap,3,2.0,0.2,215,0,32,0,,0,15,200,0,15,0,15,0,0
011_Et_n_Me_L,S2_possible_overlap,3,2.0,0.5,215,0,15,0,,0,45,170,0,45,0,45,0,0
011_Et_n_Me_L,S2_possible_overlap,5,0.5,0.0,215,0,35,0,,0,0,215,0,0,0,0,0,0
011_Et_n_Me_L,S2_possible_overlap,5,0.5,0.2,215,0,32,0,,0,11,204,0,11,0,11,0,0
011_Et_n_Me_L,S2_possible_overlap,5,0.5,0.5,215,0,15,0,,0,32,183,0,32,0,32,0,0
011_Et_n_Me_L,S2_possible_overlap,5,1.0,0.0,215,0,35,0,,0,0,215,0,0,0,0,0,0
011_Et_n_Me_L,S2_possible_overlap,5,1.0,0.2,215,0,32,0,,0,10,205,0,10,0,10,0,0
011_Et_n_Me_L,S2_possible_overlap,5,1.0,0.5,215,0,15,0,,0,41,174,0,41,0,41,0,0
011_Et_n_Me_L,S2_possible_overlap,5,2.0,0.0,215,0,35,0,,0,0,215,0,0,0,0,0,0
011_Et_n_Me_L,S2_possible_overlap,5,2.0,0.2,215,0,32,0,,0,15,200,0,15,0,15,0,0
011_Et_n_Me_L,S2_possible_overlap,5,2.0,0.5,215,0,15,0,,0,45,170,0,45,0,45,0,0
012_Et_n_CO_H,S2_possible_overlap,1,0.5,0.0,215,162,35,43,88.0,0,0,215,0,0,0,0,0,0
012_Et_n_CO_H,S2_possible_overlap,1,0.5,0.2,215,162,32,35,89.0,0,11,204,0,11,0,11,0,0
012_Et_n_CO_H,S2_possible_overlap,1,0.5,0.5,215,162,15,15,95.0,0,32,183,0,32,0,32,0,0
012_Et_n_CO_H,S2_possible_overlap,1,1.0,0.0,215,162,35,49,85.0,0,0,215,0,0,0,0,0,0
012_Et_n_CO_H,S2_possible_overlap,1,1.0,0.2,215,162,32,40,86.0,0,10,205,0,10,0,10,0,0
012_Et_n_CO_H,S2_possible_overlap,1,1.0,0.5,215,162,15,15,95.0,0,41,174,0,41,0,41,0,0
012_Et_n_CO_H,S2_possible_overlap,1,2.0,0.0,215,162,35,61,79.0,0,0,215,0,0,0,0,0,0
012_Et_n_CO_H,S2_possible_overlap,1,2.0,0.2,215,162,32,52,79.0,0,15,200,0,15,0,15,0,0
012_Et_n_CO_H,S2_possible_overlap,1,2.0,0.5,215,162,15,26,80.0,0,45,170,0,45,0,45,0,0
012_Et_n_CO_H,S2_possible_overlap,3,0.5,0.0,215,160,35,43,88.0,0,0,215,0,0,0,0,0,0
012_Et_n_CO_H,S2_possible_overlap,3,0.5,0.2,215,160,32,35,89.0,0,11,204,0,11,0,11,0,0
012_Et_n_CO_H,S2_possible_overlap,3,0.5,0.5,215,160,15,15,95.0,0,32,183,0,32,0,32,0,0
012_Et_n_CO_H,S2_possible_overlap,3,1.0,0.0,215,160,35,49,85.0,0,0,215,0,0,0,0,0,0
012_Et_n_CO_H,S2_possible_overlap,3,1.0,0.2,215,160,32,40,86.0,0,10,205,0,10,0,10,0,0
012_Et_n_CO_H,S2_possible_overlap,3,1.0,0.5,215,160,15,15,95.0,0,41,174,0,41,0,41,0,0
012_Et_n_CO_H,S2_possible_overlap,3,2.0,0.0,215,160,35,59,81.0,0,0,215,0,0,0,0,0,0
012_Et_n_CO_H,S2_possible_overlap,3,2.0,0.2,215,160,32,50,81.0,0,15,200,0,15,0,15,0,0
012_Et_n_CO_H,S2_possible_overlap,3,2.0,0.5,215,160,15,25,81.0,0,45,170,0,45,0,45,0,0
012_Et_n_CO_H,S2_possible_overlap,5,0.5,0.0,215,158,35,43,88.0,0,0,215,0,0,0,0,0,0
012_Et_n_CO_H,S2_possible_overlap,5,0.5,0.2,215,158,32,35,89.0,0,11,204,0,11,0,11,0,0
012_Et_n_CO_H,S2_possible_overlap,5,0.5,0.5,215,158,15,15,95.0,0,32,183,0,32,0,32,0,0
012_Et_n_CO_H,S2_possible_overlap,5,1.0,0.0,215,158,35,49,85.0,0,0,215,0,0,0,0,0,0
